"","figures_sex","Stress","mean_recall","sem_recall"
"1","Male","ELS",60.5392156870588,4.20968427423516
"2","Male","NS",47.9885057478966,5.45003886037626
"3","Female","ELS",47.4021592441842,4.13811230830187
"4","Female","NS",41.2186771555938,5.04623790297504
