,Litter,Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2,Vox_data
245,,h,ELS,Male,10,0,50,41.66666667,41.66666667,58.33333333,33.33333333,25,25,30.76923077,7.692307692,15.38461538,
246,,h,ELS,Female,2,7.692307692,83.33333333,50,,,,,,0,46.15384615,0,
247,,h,ELS,Female,2,0,83.33333333,33.33333333,,,,,,7.692307692,46.15384615,23.07692308,
248,,h,ELS,Female,2,0,100,41.66666667,,,,,,23.07692308,15.38461538,53.84615385,
249,,h,ELS,Female,2,0,66.66666667,58.33333333,,,,,,30.76923077,15.38461538,53.84615385,
250,,h,ELS,Female,2,7.692307692,83.33333333,25,,,,,,23.07692308,15.38461538,15.38461538,
251,,h,ELS,Female,10,0,66.66666667,69.23076923,69.23076923,25,8.333333333,50,41.66666667,7.692307692,23.07692308,38.46153846,
252,,h,ELS,Female,10,0,66.66666667,33.33333333,33.33333333,16.66666667,16.66666667,8.333333333,0,0,7.692307692,0,
253,,h,ELS,Female,10,23.07692308,83.33333333,41.66666667,41.66666667,33.33333333,58.33333333,41.66666667,83.33333333,15.38461538,46.15384615,53.84615385,
254,,h,ELS,Female,10,0,100,41.66666667,41.66666667,41.66666667,50,8.333333333,50,23.07692308,38.46153846,15.38461538,
255,,h,NS,Male,2,0,100,25,,,,,,23.07692308,36.36363636,7.692307692,
256,,h,NS,Male,2,0,66.66666667,66.66666667,,,,,,7.692307692,27.27272727,15.38461538,
257,,h,NS,Male,2,0,66.66666667,66.66666667,,,,,,30.76923077,45.45454545,38.46153846,
258,,h,NS,Male,2,0,66.66666667,75,,,,,,53.84615385,9.090909091,15.38461538,
259,,h,NS,Male,2,7.692307692,66.66666667,91.66666667,,,,,,15.38461538,7.692307692,46.15384615,
260,,h,NS,Male,2,0,100,91.66666667,,,,,,15.38461538,38.46153846,30.76923077,
261,,h,NS,Male,10,0,66.66666667,58.33333333,58.33333333,33.33333333,25,25,33.33333333,7.692307692,15.38461538,46.15384615,
262,,h,NS,Male,10,0,83.33333333,16.66666667,16.66666667,100,41.66666667,8.333333333,16.66666667,7.692307692,15.38461538,15.38461538,
263,,h,NS,Male,10,0,66.66666667,8.333333333,8.333333333,0,0,0,8.333333333,0,0,7.692307692,
264,,h, NS,Male,10,7.692307692,50,83.33333333,83.33333333,83.33333333,91.66666667,41.66666667,8.333333333,76.92307692,0,45.45454545,
265,,h,NS,Male,10,0,16.66666667,8.333333333,8.333333333,8.333333333,8.333333333,0,0,7.692307692,76.92307692,18.18181818,
266,,h,ELS,Female,10,0,100,NA,,,,,,53.84615385,30.76923077,38.46153846,
267,,h,ELS,Female,10,0,83.33333333,NA,,,,,,46.15384615,7.692307692,46.15384615,
268,,h,ELS,Female,10,0,100,16.66666667,16.66666667,50,8.333333333,33.33333333,25,15.38461538,38.46153846,NA,
269,,h,NS,Female,2,0,83.33333333,66.66666667,,,,,,30.76923077,23.07692308,38.46153846,
270,,h,NS,Female,2,0,66.66666667,50,,,,,,30.76923077,46.15384615,15.38461538,
271,,h,NS,Female,2,0,50,83.33333333,,,,,,15.38461538,15.38461538,15.38461538,
272,,h,x,x,x,NA,NA,NA,,,,,,NA,NA,NA,
273,,h,NS,Male,10,0,33.33333333,33.33333333,33.33333333,0,58.33333333,66.66666667,23.07692308,15.38461538,7.692307692,0,
274,,h,NS,Male,10,0,100,66.66666667,66.66666667,41.66666667,16.66666667,58.33333333,23.07692308,23.07692308,46.15384615,15.38461538,
275,,h,ELS,Male,10,0,83.33333333,66.66666667,66.66666667,50,0,0,0,0,7.692307692,15.38461538,
276,,h,ELS,Male,10,0,50,50,50,58.33333333,25,50,46.15384615,30.76923077,38.46153846,23.07692308,
277,,h,ELS,Male,10,0,100,91.66666667,91.66666667,83.33333333,66.66666667,66.66666667,30.76923077,38.46153846,23.07692308,61.53846154,
278,,h,x,x,x,NA,NA,NA,,,,,,NA,NA,NA,
279,,h,ELS,Male,2,7.692307692,100,41.66666667,,,,,,30.76923077,46.15384615,30.76923077,
280,,h,ELS,Male,2,7.692307692,83.33333333,58.33333333,,,,,,53.84615385,7.692307692,15.38461538,
281,,h,ELS,Male,2,7.692307692,100,58.33333333,,,,,,30.76923077,15.38461538,46.15384615,
282,,h,x,x,x,NA,NA,NA,,,,,,NA,NA,NA,
283,,h,NS,Female,10,7.692307692,66.66666667,50,50,8.333333333,33.33333333,16.66666667,46.15384615,46.15384615,53.84615385,7.692307692,
284,,h,NS,Female,10,0,83.33333333,33.33333333,33.33333333,41.66666667,16.66666667,16.66666667,7.692307692,0,7.692307692,0,
285,,h,NS,Female,2,0,83.33333333,53.84615385,,,,,,15.38461538,38.46153846,46.15384615,
286,,h,NS,Female,2,15.38461538,100,15.38461538,,,,,,46.15384615,15.38461538,46.15384615,
287,,h,NS,Female,2,0,83.33333333,30.76923077,,,,,,23.07692308,30.76923077,15.38461538,
288,,h,NS,Female,2,0,66.66666667,15.38461538,,,,,,23.07692308,30.76923077,0,
289,,h,NS,Female,10,0,66.66666667,23.07692308,23.07692308,0,0,0,0,38.46153846,38.46153846,0,
290,,h,NS,Female,10,0,66.66666667,38.46153846,38.46153846,25,8.333333333,8.333333333,33.33333333,30.76923077,30.76923077,15.38461538,
291,,h,NS,Female,10,0,66.66666667,76.92307692,76.92307692,100,100,83.33333333,66.66666667,0,38.46153846,38.46153846,
292,,h,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
293,,h,ELS,Female,10,0,66.66666667,76.92307692,76.92307692,33.33333333,16.66666667,0,58.33333333,46.15384615,15.38461538,30.76923077,
294,,h,ELS,Female,10,7.692307692,50,53.84615385,53.84615385,33.33333333,25,33.33333333,8.333333333,53.84615385,46.15384615,30.76923077,
295,,h,ELS,Female,10,0,100,46.15384615,46.15384615,25,0,0,0,7.692307692,0,7.692307692,
296,,h,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
297,,h,NS,Female,10,0,83.33333333,61.53846154,61.53846154,83.33333333,50,25,25,15.38461538,15.38461538,NA,
298,,h,NS,Female,10,0,83.33333333,61.53846154,61.53846154,16.66666667,41.66666667,16.66666667,41.66666667,23.07692308,0,NA,
299,,h,NS,Female,10,7.692307692,83.33333333,84.61538462,84.61538462,75,58.33333333,75,16.66666667,23.07692308,NA,NA,
300,,h,NS,Female,10,7.692307692,66.66666667,76.92307692,76.92307692,16.66666667,66.66666667,33.33333333,8.333333333,38.46153846,NA,NA,
