,Litter,Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2,Vox_data
32,b,l,NS,F,10,9.090909091,50,25,25,33.33333333,8.333333333,16.66666667,16.66666667,8.333333333,NA,NA,
33,b,l,NS,F,10,9.090909091,100,58.33333333,58.33333333,16.66666667,25,0,8.333333333,8.333333333,NA,NA,
34,c,l,ELS,M,10,27.27272727,50,0,0,16.66666667,16.66666667,8.333333333,16.66666667,4.166666667,NA,NA,
35,c,l,ELS,M,10,9.090909091,83.33333333,33.33333333,33.33333333,8.333333333,8.333333333,25,0,0,NA,NA,
36,c,l,NS,M,10,0,50,50,50,75,25,25,0,12.5,NA,NA,
37,c,l,NS,M,10,18.18181818,33.33333333,33.33333333,33.33333333,0,25,0,8.333333333,12.5,NA,NA,
38,c,l,ELS,F,10,0,16.66666667,50,50,33.33333333,25,16.66666667,8.333333333,12.5,NA,NA,
39,c,l,ELS,F,10,9.090909091,0,25,25,16.66666667,0,16.66666667,16.66666667,33.33333333,NA,NA,
40,c,l,NS,M,2,0,33.33333333,8.333333333,NA,NA,NA,NA,NA,0,NA,NA,
41,c,l,NS,M,2,9.090909091,66.66666667,16.66666667,NA,NA,NA,NA,NA,8.333333333,NA,NA,
42,c,l,NS,M,2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,12.5,NA,NA,
43,d,l,NS,M,10,18.18181818,50,58.33333333,58.33333333,58.33333333,33.33333333,16.66666667,25,4.166666667,NA,NA,
44,d,l,NS,M,10,9.090909091,66.66666667,8.333333333,8.333333333,33.33333333,0,16.66666667,0,16.66666667,NA,NA,
45,d,l,NS,M,10,0,66.66666667,25,25,50,33.33333333,16.66666667,8.333333333,12.5,NA,NA,
46,c,l,NS,F,10,0,0,8.333333333,8.333333333,25,8.333333333,8.333333333,16.66666667,16.66666667,NA,NA,
47,c,l,NS,F,10,9.090909091,16.66666667,33.33333333,33.33333333,83.33333333,8.333333333,0,16.66666667,4.166666667,NA,NA,
48,d,l,ELS,F,2,0,33.33333333,33.33333333,NA,NA,NA,NA,NA,8.333333333,NA,NA,
49,d,l,ELS,F,2,0,0,8.333333333,NA,NA,NA,NA,NA,0,NA,NA,
50,c,l,NS,F,2,0,33.33333333,8.333333333,NA,NA,NA,NA,NA,8.333333333,NA,NA,
51,c,l,NS,F,2,0,66.66666667,25,NA,NA,NA,NA,NA,0,NA,NA,
52,d,l,ELS,F,10,0,50,16.66666667,16.66666667,8.333333333,8.333333333,8.333333333,8.333333333,25,NA,NA,
53,d,l,ELS,F,10,0,66.66666667,33.33333333,33.33333333,8.333333333,8.333333333,16.66666667,0,33.33333333,NA,NA,
54,d,l,NS,M,10,18.18181818,50,8.333333333,8.333333333,0,8.333333333,0,0,0,NA,NA,
55,d,l,NS,M,10,18.18181818,83.33333333,33.33333333,33.33333333,25,0,16.66666667,0,0,NA,NA,
56,d,l,NS,F,10,18.18181818,50,0,0,0,0,0,0,4.166666667,NA,NA,
57,d,l,NS,F,10,0,66.66666667,0,0,8.333333333,0,0,8.333333333,0,NA,NA,
58,2a,l,ELS,M,2,8.333333333,66.66666667,58.33333333,NA,NA,NA,NA,NA,41.66666667,NA,NA,
59,2a,l,ELS,M,2,0,50,16.66666667,NA,NA,NA,NA,NA,8.333333333,NA,NA,
60,2b,l,ELS,F,2,0,100,91.66666667,NA,NA,NA,NA,NA,33.33333333,NA,NA,
61,2b,l,ELS,F,2,8.333333333,66.66666667,25,NA,NA,NA,NA,NA,0,NA,NA,
62,2a,l,NS,M,2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,27.27272727,NA,NA,
63,2a,l,NS,M,2,0,66.66666667,8.333333333,NA,NA,NA,NA,NA,0,NA,NA,
64,2a,l,NS,F,2,0,83.33333333,75,NA,NA,NA,NA,NA,16.66666667,NA,NA,
65,2a,l,NS,F,2,0,66.66666667,16.66666667,NA,NA,NA,NA,NA,50,NA,NA,
66,2c,l,ELS,M,10,0,66.66666667,33.33333333,33.33333333,33.33333333,0,0,16.66666667,33.33333333,NA,NA,
67,2c,l,ELS,M,10,8.333333333,83.33333333,25,25,83.33333333,66.66666667,0,8.333333333,8.333333333,NA,NA,
68,2c,l,ELS,M,10,8.333333333,66.66666667,41.66666667,41.66666667,41.66666667,50,33.33333333,41.66666667,0,NA,NA,
69,2c,l,ELS,F,10,0,50,0,0,0,0,0,0,8.333333333,NA,NA,
70,2c,l,ELS,F,10,0,33.33333333,8.333333333,8.333333333,0,0,0,0,8.333333333,NA,NA,
71,2d,l,NS,M,10,0,83.33333333,0,0,25,16.66666667,0,0,8.333333333,NA,NA,
72,2d,l,NS,M,10,0,0,0,0,0,0,0,0,0,NA,NA,
73,2c,l,NS,F,10,0,33.33333333,8.333333333,8.333333333,8.333333333,0,8.333333333,0,0,NA,NA,
74,2c,l,NS,F,10,8.333333333,33.33333333,16.66666667,16.66666667,8.333333333,0,25,0,0,NA,NA,
75,2a,l,ELS,M,2,8.333333333,50,66.66666667,NA,NA,NA,NA,NA,33.33333333,NA,NA,
76,2a,l,ELS,M,2,8.333333333,50,50,NA,NA,NA,NA,NA,25,NA,NA,
77,2b,l,ELS,F,2,25,50,50,NA,NA,NA,NA,NA,25,NA,NA,
78,2b,l,ELS,F,2,0,83.33333333,16.66666667,NA,NA,NA,NA,NA,0,NA,NA,
79,2b,l,NS,M,2,8.333333333,50,0,NA,NA,NA,NA,NA,0,NA,NA,
80,2b,l,NS,M,2,8.333333333,100,8.333333333,NA,NA,NA,NA,NA,0,NA,NA,
81,2b,l,NS,F,2,16.66666667,33.33333333,16.66666667,NA,NA,NA,NA,NA,8.333333333,NA,NA,
82,2b,l,NS,F,2,0,16.66666667,0,NA,NA,NA,NA,NA,0,NA,NA,
83,2b,l,NS,F,2,0,50,8.333333333,NA,NA,NA,NA,NA,0,NA,NA,
84,2d,l,ELS,M,10,0,66.66666667,25,25,50,16.66666667,16.66666667,33.33333333,8.333333333,NA,NA,
85,2d,l,ELS,M,10,0,66.66666667,25,25,16.66666667,50,25,25,58.33333333,NA,NA,
86,2d,l,ELS,F,10,8.333333333,33.33333333,25,25,16.66666667,8.333333333,0,0,0,NA,NA,
87,2d,l,ELS,F,10,0,16.66666667,8.333333333,8.333333333,0,8.333333333,16.66666667,16.66666667,0,NA,NA,
88,2d,l,ELS,M,10,8.333333333,83.33333333,58.33333333,58.33333333,25,16.66666667,8.333333333,8.333333333,0,NA,NA,
89,2d,l,ELS,M,10,16.66666667,83.33333333,25,25,16.66666667,16.66666667,0,0,0,NA,NA,
90,2d,l,NS,M,10,0,16.66666667,16.66666667,16.66666667,8.333333333,8.333333333,8.333333333,16.66666667,0,NA,NA,
91,2d,l,NS,M,10,0,33.33333333,16.66666667,16.66666667,33.33333333,41.66666667,16.66666667,8.333333333,16.66666667,NA,NA,
92,2d,l,NS,M,10,0,0,16.66666667,16.66666667,8.333333333,25,0,0,0,NA,NA,
93,2b,l,ELS,M,2,0,83.33333333,0,NA,NA,NA,NA,NA,0,NA,NA,
94,2b,l,ELS,M,2,0,16.66666667,8.333333333,NA,NA,NA,NA,NA,33.33333333,NA,NA,
95,2b,l,ELS,F,2,8.333333333,66.66666667,41.66666667,NA,NA,NA,NA,NA,33.33333333,NA,NA,
96,2b,l,ELS,F,2,0,66.66666667,33.33333333,NA,NA,NA,NA,NA,0,NA,NA,
97,2c,l,NS,M,2,8.333333333,83.33333333,50,NA,NA,NA,NA,NA,16.66666667,NA,NA,
98,2c,l,NS,M,2,0,66.66666667,66.66666667,NA,NA,NA,NA,NA,33.33333333,NA,NA,
99,2b,l,NS,F,2,8.333333333,50,41.66666667,NA,NA,NA,NA,NA,0,NA,NA,
100,2b,l,NS,F,2,0,0,16.66666667,NA,NA,NA,NA,NA,0,NA,NA,
101,2c,l,NS,M,2,0,66.66666667,0,NA,NA,NA,NA,NA,16.66666667,NA,NA,
