"Litter","animal_no","Cage.no","Stress","Sex","Condition","Pre","Post","recall_1","ext1_curve","ext2_curve","ext3_curve","ext4_curve","ext5_curve","extinction_recall"
"",2,"","ELS","M",2,0,50,16.66666667,NA,NA,NA,NA,NA,"8.333333333"
"",3,"7","ELS","F",2,0,100,91.66666667,NA,NA,NA,NA,NA,"33.33333333"
"",4,"","ELS","F",2,8.333333333,66.66666667,25,NA,NA,NA,NA,NA,"0"
"",5,"3","NS","M",2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,"27.27272727"
"",6,"","NS","M",2,0,66.66666667,8.333333333,NA,NA,NA,NA,NA,"0"
"",7,"4","NS","F",2,0,83.33333333,75,NA,NA,NA,NA,NA,"16.66666667"
"",8,"","NS","F",2,0,66.66666667,16.66666667,NA,NA,NA,NA,NA,"50"
"",9,"12","ELS","M",10,0,66.66666667,33.33333333,33.33333333,33.33333333,0,0,16.66666667,"33.33333333"
"",10,"","ELS","M",10,8.333333333,83.33333333,25,25,83.33333333,66.66666667,0,8.333333333,"8.333333333"
"",11,"12b","ELS","M",10,8.333333333,66.66666667,41.66666667,41.66666667,41.66666667,50,33.33333333,41.66666667,"0"
"",13,"16","ELS","F",10,0,50,0,0,0,0,0,0,"8.333333333"
"",14,"","ELS","F",10,0,33.33333333,8.333333333,8.333333333,0,0,0,0,"8.333333333"
"",15,"20","NS","M",10,0,83.33333333,0,0,25,16.66666667,0,0,"8.333333333"
"",16,"","NS","M",10,0,0,0,0,0,0,0,0,"0"
"",17,"17","NS","F",10,0,33.33333333,8.333333333,8.333333333,8.333333333,0,8.333333333,0,"0"
"",18,"","NS","F",10,8.333333333,33.33333333,16.66666667,16.66666667,8.333333333,0,25,0,"0"
"",19,"2","ELS","M",2,8.333333333,50,66.66666667,NA,NA,NA,NA,NA,"33.33333333"
"",20,"","ELS","M",2,8.333333333,50,50,NA,NA,NA,NA,NA,"25"
"",21,"8","ELS","F",2,25,50,50,NA,NA,NA,NA,NA,"25"
"",22,"","ELS","F",2,0,83.33333333,16.66666667,NA,NA,NA,NA,NA,"0"
"",23,"6","NS","M",2,8.333333333,50,0,NA,NA,NA,NA,NA,"0"
"",24,"","NS","M",2,8.333333333,100,8.333333333,NA,NA,NA,NA,NA,"0"
"",25,"10","NS","F",2,16.66666667,33.33333333,16.66666667,NA,NA,NA,NA,NA,"8.333333333"
"",26,"","NS","F",2,0,16.66666667,0,NA,NA,NA,NA,NA,"0"
"",27,"10b","NS","F",2,0,50,8.333333333,NA,NA,NA,NA,NA,"0"
"",31,"19","ELS","M",10,0,66.66666667,25,25,50,16.66666667,16.66666667,33.33333333,"8.333333333"
"",32,"","ELS","M",10,0,66.66666667,25,25,16.66666667,50,25,25,"58.33333333"
"",33,"23","ELS","F",10,8.333333333,33.33333333,25,25,16.66666667,8.333333333,0,0,"0"
"",34,"","ELS","F",10,0,16.66666667,8.333333333,8.333333333,0,8.333333333,16.66666667,16.66666667,"0"
"",35,"22","ELS","M",10,8.333333333,83.33333333,58.33333333,58.33333333,25,16.66666667,8.333333333,8.333333333,"0"
"",36,"","ELS","M",10,16.66666667,83.33333333,25,25,16.66666667,16.66666667,0,0,"0"
"",37,"25","NS","M",10,0,16.66666667,16.66666667,16.66666667,8.333333333,8.333333333,8.333333333,16.66666667,"0"
"",38,"","NS","M",10,0,33.33333333,16.66666667,16.66666667,33.33333333,41.66666667,16.66666667,8.333333333,"16.66666667"
"",39,"25b","NS","M",10,0,0,16.66666667,16.66666667,8.333333333,25,0,0,"0"
"",41,"5","ELS","M",2,0,83.33333333,0,NA,NA,NA,NA,NA,"0"
"",42,"","ELS","M",2,0,16.66666667,8.333333333,NA,NA,NA,NA,NA,"33.33333333"
"",43,"9","ELS","F",2,8.333333333,66.66666667,41.66666667,NA,NA,NA,NA,NA,"33.33333333"
"",44,"","ELS","F",2,0,66.66666667,33.33333333,NA,NA,NA,NA,NA,"0"
"",45,"13","NS","M",2,8.333333333,83.33333333,50,NA,NA,NA,NA,NA,"16.66666667"
"",46,"","NS","M",2,0,66.66666667,66.66666667,NA,NA,NA,NA,NA,"33.33333333"
"",47,"11","NS","F",2,8.333333333,50,41.66666667,NA,NA,NA,NA,NA,"0"
"",48,"","NS","F",2,0,0,16.66666667,NA,NA,NA,NA,NA,"0"
"",49,"14","NS","M",2,0,66.66666667,0,NA,NA,NA,NA,NA,"16.66666667"
"",50,"","NS","M",2,0,50,16.66666667,NA,NA,NA,NA,NA,"25"
"",51,"15","ELS","F",2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,"16.66666667"
"",52,"","ELS","F",2,0,66.66666667,0,NA,NA,NA,NA,NA,"0"
"",53,"18","NS","F",2,0,16.66666667,0,NA,NA,NA,NA,NA,"33.33333333"
"",54,"","NS","F",2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,"0"
"",55,"24","ELS","F",10,0,50,50,50,25,16.66666667,16.66666667,25,"8.333333333"
"",56,"","ELS","F",10,0,66.66666667,16.66666667,16.66666667,8.333333333,0,0,8.333333333,"0"
