"","figures_sex","Stress","mean_recall","sem_recall"
"1","Male","ELS",30.0116550116364,4.30222812752757
"2","Male","NS",26.0128760121905,2.87115826175503
"3","Female","ELS",21.2620712624286,3.70762456572768
"4","Female","NS",12.3792873782857,2.5491776769589
