"","Shock","Stress","Sex","Condition","ID","timepoint","percentage"
"118","h","ELS","Male","10","24","ext3_curve",23.07692308
"119","h","ELS","Male","10","24","ext4_curve",15.38461538
"120","h","ELS","Male","10","24","ext5_curve",0
"121","h","ELS","Male","10","25","ext1_curve",69.23076923
"122","h","ELS","Male","10","25","ext2_curve",69.23076923
"123","h","ELS","Male","10","25","ext3_curve",46.15384615
"124","h","ELS","Male","10","25","ext4_curve",0
"125","h","ELS","Male","10","25","ext5_curve",0
"126","h","ELS","Male","10","26","ext1_curve",84.61538462
"127","h","ELS","Male","10","26","ext2_curve",46.15384615
"128","h","ELS","Male","10","26","ext3_curve",61.53846154
"129","h","ELS","Male","10","26","ext4_curve",61.53846154
"130","h","ELS","Male","10","26","ext5_curve",87.5
"131","h","ELS","Male","10","27","ext1_curve",84.61538462
"132","h","ELS","Male","10","27","ext2_curve",76.92307692
"133","h","ELS","Male","10","27","ext3_curve",38.46153846
"134","h","ELS","Male","10","27","ext4_curve",15.38461538
"135","h","ELS","Male","10","27","ext5_curve",0
"136","h","ELS","Male","10","28","ext1_curve",83.33333333
"137","h","ELS","Male","10","28","ext2_curve",84.61538462
"138","h","ELS","Male","10","28","ext3_curve",69.23076923
"139","h","ELS","Male","10","28","ext4_curve",23.07692308
"140","h","ELS","Male","10","28","ext5_curve",50
"141","h","ELS","Male","10","29","ext1_curve",50
"142","h","ELS","Male","10","29","ext2_curve",76.92307692
"143","h","ELS","Male","10","29","ext3_curve",7.692307692
"144","h","ELS","Male","10","29","ext4_curve",23.07692308
"145","h","ELS","Male","10","29","ext5_curve",0
"146","h","ELS","Female","10","30","ext1_curve",30.76923077
"147","h","ELS","Female","10","30","ext2_curve",53.84615385
"148","h","ELS","Female","10","30","ext3_curve",30.76923077
"149","h","ELS","Female","10","30","ext4_curve",46.15384615
"150","h","ELS","Female","10","30","ext5_curve",0
"151","h","ELS","Female","10","31","ext1_curve",30.76923077
"152","h","ELS","Female","10","31","ext2_curve",7.692307692
"153","h","ELS","Female","10","31","ext3_curve",23.07692308
"154","h","ELS","Female","10","31","ext4_curve",23.07692308
"155","h","ELS","Female","10","31","ext5_curve",0
"156","h","ELS","Female","10","32","ext1_curve",84.61538462
"157","h","ELS","Female","10","32","ext2_curve",61.53846154
"158","h","ELS","Female","10","32","ext3_curve",30.76923077
"159","h","ELS","Female","10","32","ext4_curve",23.07692308
"160","h","ELS","Female","10","32","ext5_curve",0
"161","h","ELS","Female","10","33","ext1_curve",15.38461538
"162","h","ELS","Female","10","33","ext2_curve",15.38461538
"163","h","ELS","Female","10","33","ext3_curve",30.76923077
"164","h","ELS","Female","10","33","ext4_curve",0
"165","h","ELS","Female","10","33","ext5_curve",0
