,,Litter,animal_no ,Condition,Stress,Sex,Cage no,pre,post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,
,,,10,10,ELS,M,,8.333333333,83.33333333,25,25,83.33333333,66.66666667,0,8.333333333,8.333333333,
,,,11,10,ELS,M,12b,8.333333333,66.66666667,41.66666667,41.66666667,41.66666667,50,33.33333333,41.66666667,0,
,,,13,10,ELS,F,16,0,50,0,0,0,0,0,0,8.333333333,
,,,14,10,ELS,F,,0,33.33333333,8.333333333,8.333333333,0,0,0,0,8.333333333,
,,,15,10,NS,M,20,0,83.33333333,0,0,25,16.66666667,0,0,8.333333333,
,,,16,10,NS,M,,0,0,0,0,0,0,0,0,0,
,,,17,10,NS,F,17,0,33.33333333,8.333333333,8.333333333,8.333333333,0,8.333333333,0,0,
,,,18,10,NS,F,,8.333333333,33.33333333,16.66666667,16.66666667,8.333333333,0,25,0,0,
,,,19,2,ELS,M,2,8.333333333,50,66.66666667,,,,,,33.33333333,
,,,20,2,ELS,M,,8.333333333,50,50,,,,,,25,
,,,21,2,ELS,F,8,25,50,50,,,,,,25,
,,,22,2,ELS,F,,0,83.33333333,16.66666667,,,,,,0,
,,,23,2,NS,M,6,8.333333333,50,0,,,,,,0,
,,,24,2,NS,M,,8.333333333,100,8.333333333,,,,,,0,
,,,25,2,NS,F,10,16.66666667,33.33333333,16.66666667,,,,,,8.333333333,
,,,26,2,NS,F,,0,16.66666667,0,,,,,,0,
,,,27,2,NS,F,10b,0,50,8.333333333,,,,,,0,
,,,31,10,ELS,M,19,0,66.66666667,25,25,50,16.66666667,16.66666667,33.33333333,8.333333333,
,,,32,10,ELS,M,,0,66.66666667,25,25,16.66666667,50,25,25,58.33333333,
,,,33,10,ELS,F,23,8.333333333,33.33333333,25,25,16.66666667,8.333333333,0,0,0,
,,,34,10,ELS,F,,0,16.66666667,8.333333333,8.333333333,0,8.333333333,16.66666667,16.66666667,0,
,,,35,10,ELS,M,22,8.333333333,83.33333333,58.33333333,58.33333333,25,16.66666667,8.333333333,8.333333333,0,
,,,36,10,ELS,M,,16.66666667,83.33333333,25,25,16.66666667,16.66666667,0,0,0,
,,,37,10,NS,M,25,0,16.66666667,16.66666667,16.66666667,8.333333333,8.333333333,8.333333333,16.66666667,0,
,,,38,10,NS,M,,0,33.33333333,16.66666667,16.66666667,33.33333333,41.66666667,16.66666667,8.333333333,16.66666667,
,,,39,10,NS,M,25b,0,0,16.66666667,16.66666667,8.333333333,25,0,0,0,
,,,41,2,ELS,M,5,0,83.33333333,0,,,,,,0,
,,,42,2,ELS,M,,0,16.66666667,8.333333333,,,,,,33.33333333,
,,,43,2,ELS,F,9,8.333333333,66.66666667,41.66666667,,,,,,33.33333333,
,,,44,2,ELS,F,,0,66.66666667,33.33333333,,,,,,0,
,,,45,2,NS,M,13,8.333333333,83.33333333,50,,,,,,16.66666667,
,,,46,2,NS,M,,0,66.66666667,66.66666667,,,,,,33.33333333,
,,,47,2,NS,F,11,8.333333333,50,41.66666667,,,,,,0,
,,,48,2,NS,F,,0,0,16.66666667,,,,,,0,
,,,49,2,NS,M,14,0,66.66666667,0,,,,,,16.66666667,
,,,50,2,NS,M,,0,50,16.66666667,,,,,,25,
,,,51,2,ELS,F,15,0,33.33333333,16.66666667,,,,,,16.66666667,
,,,52,2,ELS,F,,0,66.66666667,0,,,,,,0,
,,,53,2,NS,F,18,0,16.66666667,0,,,,,,33.33333333,
,,,54,2,NS,F,,0,33.33333333,16.66666667,,,,,,0,
,,,55,10,ELS,F,24,0,50,50,50,25,16.66666667,16.66666667,25,8.333333333,
,,,56,10,ELS,F,,0,66.66666667,16.66666667,16.66666667,8.333333333,0,0,8.333333333,0,
