"","figures_sex","Stress","mean_recall","sem_recall"
"1","Male","ELS",21.315496098087,2.75466459446551
"2","Male","NS",26.1625874121,3.52985890993547
"3","Female","ELS",22.1400394480769,2.50528038066313
"4","Female","NS",4.3669871790625,1.81952560331151
