"","Shock","Stress","Sex","Condition","Pre","Post","recall_1","ext1_curve","ext2_curve","ext3_curve","ext4_curve","ext5_curve","extinction_recall","reminder_day1_shock","reminder_day2"
"61","h","NS","Male","2",0,100,16.66666667,NA,NA,NA,NA,NA,25,41.66666667,16.66666667
"62","l","NS","Female","2",0,33.33333333,0,NA,NA,NA,NA,NA,8.333333333,0,0
"63","l","NS","Female","2",8.333333333,16.66666667,0,NA,NA,NA,NA,NA,0,0,0
"64","l","ELS","Male","2",0,83.33333333,58.33333333,NA,NA,NA,NA,NA,41.66666667,25,8.333333333
"65","l","ELS","Male","2",10,66.66666667,66.66666667,NA,NA,NA,NA,NA,50,41.66666667,0
"66","h","NS","Male","2",8.333333333,33.33333333,0,NA,NA,NA,NA,NA,8.333333333,0,8.333333333
"67","h","NS","Male","2",0,83.33333333,58.33333333,NA,NA,NA,NA,NA,16.66666667,25,25
"68","h","ELS","Male","2",0,66.66666667,16.66666667,NA,NA,NA,NA,NA,8.333333333,33.33333333,8.333333333
"69","h","ELS","Male","2",0,83.33333333,91.66666667,NA,NA,NA,NA,NA,41.66666667,25,16.66666667
"70","l","NS","Female","2",0,33.33333333,25,NA,NA,NA,NA,NA,8.333333333,0,16.66666667
"71","l","NS","Female","2",0,66.66666667,0,NA,NA,NA,NA,NA,8.333333333,0,0
"72","l","ELS","Female","2",0,100,0,NA,NA,NA,NA,NA,8.333333333,0,0
"73","l","ELS","Female","2",0,50,16.66666667,NA,NA,NA,NA,NA,25,8.333333333,8.333333333
"74","l","ELS","Female","2",0,50,16.66666667,NA,NA,NA,NA,NA,8.333333333,0,0
"75","h","ELS","Male","2",0,100,91.66666667,NA,NA,NA,NA,NA,83.33333333,58.33333333,66.66666667
"76","h","ELS","Male","2",0,100,75,NA,NA,NA,NA,NA,33.33333333,25,41.66666667
"77","h","NS","Male","2",8.333333333,66.66666667,41.66666667,NA,NA,NA,NA,NA,25,25,0
"78","h","NS","Male","2",8.333333333,83.33333333,25,NA,NA,NA,NA,NA,8.333333333,0,9.090909091
"79","l","ELS","Female","2",0,83.33333333,16.66666667,NA,NA,NA,NA,NA,8.333333333,8.333333333,18.18181818
"80","l","ELS","Female","2",0,83.33333333,66.66666667,NA,NA,NA,NA,NA,8.333333333,8.333333333,18.18181818
"81","h","ELS","Male","2",0,100,100,NA,NA,NA,NA,NA,91.66666667,75,58.33333333
"82","h","ELS","Male","2",0,83.33333333,33.33333333,NA,NA,NA,NA,NA,41.66666667,41.66666667,33.33333333
"83","l","ELS","Female","2",0,83.33333333,41.66666667,NA,NA,NA,NA,NA,0,16.66666667,16.66666667
"84","l","ELS","Female","2",0,83.33333333,41.66666667,NA,NA,NA,NA,NA,8.333333333,0,0
"85","h","NS","Male","2",0,100,83.33333333,NA,NA,NA,NA,NA,41.66666667,8.333333333,50
"86","h","NS","Male","2",0,50,25,NA,NA,NA,NA,NA,33.33333333,25,0
"87","h","NS","Male","2",0,66.66666667,41.66666667,NA,NA,NA,NA,NA,33.33333333,37.5,50
"88","l","ELS","Female","2",0,16.66666667,0,NA,NA,NA,NA,NA,8.333333333,8.333333333,33.33333333
"89","l","ELS","Female","2",0,83.33333333,0,NA,NA,NA,NA,NA,16.66666667,0,0
"90","l","NS","Male","2",0,66.66666667,50,NA,NA,NA,NA,NA,33.33333333,41.66666667,50
"91","l","NS","Male","2",0,100,100,NA,NA,NA,NA,NA,50,50,25
"92","l","NS","Male","2",8.333333333,66.66666667,27.27272727,NA,NA,NA,NA,NA,0,0,33.33333333
"93","l","NS","Male","2",0,83.33333333,27.27272727,NA,NA,NA,NA,NA,75,41.66666667,25
