"","Shock","Stress","Sex","Condition","Pre","Post","recall_1","ext1_curve","ext2_curve","ext3_curve","ext4_curve","ext5_curve","extinction_recall","reminder_day1_shock","reminder_day2"
"29","l","NS","Male","10",18.18181818,50,8.333333333,"8.333333333","0","8.333333333","0","0",0,NA,NA
"30","l","NS","Male","10",18.18181818,83.33333333,33.33333333,"33.33333333","25","0","16.66666667","0",0,NA,NA
"31","l","NS","Female","10",18.18181818,50,0,"0","0","0","0","0",4.166666667,NA,NA
"32","l","NS","Female","10",0,66.66666667,0,"0","8.333333333","0","0","8.333333333",0,NA,NA
"33","l","ELS","Male","10",0,66.66666667,33.33333333,"33.33333333","33.33333333","0","0","16.66666667",33.33333333,NA,NA
"34","l","ELS","Male","10",8.333333333,83.33333333,25,"25","83.33333333","66.66666667","0","8.333333333",8.333333333,NA,NA
"35","l","ELS","Male","10",8.333333333,66.66666667,41.66666667,"41.66666667","41.66666667","50","33.33333333","41.66666667",0,NA,NA
"36","l","ELS","Female","10",0,50,0,"0","0","0","0","0",8.333333333,NA,NA
"37","l","ELS","Female","10",0,33.33333333,8.333333333,"8.333333333","0","0","0","0",8.333333333,NA,NA
"38","l","NS","Male","10",0,83.33333333,0,"0","25","16.66666667","0","0",8.333333333,NA,NA
"39","l","NS","Male","10",0,0,0,"0","0","0","0","0",0,NA,NA
"40","l","NS","Female","10",0,33.33333333,8.333333333,"8.333333333","8.333333333","0","8.333333333","0",0,NA,NA
"41","l","NS","Female","10",8.333333333,33.33333333,16.66666667,"16.66666667","8.333333333","0","25","0",0,NA,NA
"42","l","ELS","Male","10",0,66.66666667,25,"25","50","16.66666667","16.66666667","33.33333333",8.333333333,NA,NA
"43","l","ELS","Male","10",0,66.66666667,25,"25","16.66666667","50","25","25",58.33333333,NA,NA
"44","l","ELS","Female","10",8.333333333,33.33333333,25,"25","16.66666667","8.333333333","0","0",0,NA,NA
"45","l","ELS","Female","10",0,16.66666667,8.333333333,"8.333333333","0","8.333333333","16.66666667","16.66666667",0,NA,NA
"46","l","ELS","Male","10",8.333333333,83.33333333,58.33333333,"58.33333333","25","16.66666667","8.333333333","8.333333333",0,NA,NA
"47","l","ELS","Male","10",16.66666667,83.33333333,25,"25","16.66666667","16.66666667","0","0",0,NA,NA
"48","l","NS","Male","10",0,16.66666667,16.66666667,"16.66666667","8.333333333","8.333333333","8.333333333","16.66666667",0,NA,NA
"49","l","NS","Male","10",0,33.33333333,16.66666667,"16.66666667","33.33333333","41.66666667","16.66666667","8.333333333",16.66666667,NA,NA
"50","l","NS","Male","10",0,0,16.66666667,"16.66666667","8.333333333","25","0","0",0,NA,NA
"51","l","ELS","Female","10",0,50,50,"50","25","16.66666667","16.66666667","25",8.333333333,NA,NA
"52","l","ELS","Female","10",0,66.66666667,16.66666667,"16.66666667","8.333333333","0","0","8.333333333",0,NA,NA
"53","h","ELS","Male","10",0,100,66.66666667,"66.66666667","33.33333333","0","8.333333333","41.66666667",41.66666667,8.333333333,10
"54","h","ELS","Male","10",0,83.33333333,25,"33.33333333","41.66666667","50","16.66666667","25",16.66666667,8.333333333,20
"55","h","NS","Male","10",0,83.33333333,8.333333333,"8.333333333","0","0","0","18.18181818",0,0,50
"56","h","NS","Male","10",0,83.33333333,16.66666667,"16.66666667","33.33333333","16.66666667","41.66666667","9.090909091",0,0,50
"57","l","ELS","Male","10",0,50,66.66666667,"66.66666667","75","50","16.66666667","16.66666667",8.333333333,63.63636364,16.66666667
"58","l","ELS","Male","10",0,83.33333333,50,"50","66.66666667","8.333333333","0","0",16.66666667,9.090909091,16.66666667
"59","l","NS","Female","10",0,100,8.333333333,"8.333333333","0","16.66666667","16.66666667","8.333333333",8.333333333,0,0
"60","h","ELS","Male","10",0,50,66.66666667,"66.66666667","41.66666667","33.33333333","50","41.66666667",33.33333333,33.33333333,25
"61","h","ELS","Male","10",0,83.33333333,25,"33.33333333","33.33333333","8.333333333","8.333333333","0",0,16.66666667,8.333333333
"62","h","NS","Male","10",0,66.66666667,91.66666667,"91.66666667","75","50","25","25",33.33333333,58.33333333,16.66666667
"63","h","NS","Male","10",8.333333333,100,50,"50","33.33333333","50","16.66666667","8.333333333",8.333333333,16.66666667,41.66666667
"64","l","ELS","Female","10",0,100,58.33333333,"58.33333333","66.66666667","25","25","16.66666667",41.66666667,50,25
"65","l","ELS","Female","10",16.66666667,83.33333333,66.66666667,"66.66667","41.66666667","58.33333333","25","8.333333333",16.66666667,41.66666667,16.66666667
"66","l","NS","Male","10",0,66.66666667,8.333333333,"8.333333333","66.66666667","16.66666667","8.333333333","0",25,41.66666667,41.66666667
"67","l","NS","Male","10",0,50,0,"0","0","0","0","0",8.333333333,0,0
"68","l","NS","Male","10",0,100,33.33333333,"33.33333333","58.33333333","25","8.333333333","16.66666667",0,8.333333333,33.33333333
"69","h","ELS","Male","10",33.33333333,83.33333333,41.66666667,"41.66666667","41.66666667","41.66666667","41.66666667","50",16.66666667,41.66666667,16.66666667
"70","h","ELS","Male","10",0,100,100,"100","91.66666667","58.33333333","41.66666667","50",58.33333333,66.66666667,33.33333333
"71","h","NS","Female","10",0,66.66666667,25,"25","16.66666667","16.66666667","16.66666667","16.66666667",8.333333333,0,0
"72","h","NS","Female","10",0,83.33333333,8.333333333,"8.333333333","0","8.333333333","0","0",0,0,0
"73","l","ELS","Female","10",0,66.66666667,25,"25","33.33333333","16.66666667","8.333333333","8.333333333",0,16.66666667,8.333333333
"74","l","ELS","Female","10",0,100,33.33333333,"33.33333333","0","0","8.333333333","0",0,8.333333333,0
"75","l","NS","Female","10",0,33.33333333,0,"0","0","0","0","0",0,33.33333333,0
"76","l","NS","Female","10",0,66.66666667,0,"0","0","8.333333333","25","0",0,0,8.333333333
"77","h","NS","Female","10",0,66.66666667,0,"0","8.333333333","0","8.333333333","0",0,0,0
"78","h","NS","Female","10",0,33.33333333,25,"25","33.33333333","33.33333333","16.66666667","0",8.333333333,0,0
"79","h","NS","Male","10",0,NA,58.33333333,"58.33333333","33.33333333","25","25","8.333333333",25,0,0
"80","h","NS","Male","10",8.333333333,83.33333333,91.66666667,"91.66666667","100","100","83.33333333","75",75,75,66.66666667
"81","h","ELS","Female","10",0,66.66666667,91.66666667,"91.66666667","91.66666667","58.33333333","75","8.333333333",41.66666667,15.38461538,33.33333333
"82","h","ELS","Female","10",0,0,8.333333333,"8.333333333","8.333333333","0","8.333333333","0",0,0,8.333333333
"83","l","ELS","Male","10",0,83.33333333,58.33333333,"58.33333333","25","25","8.333333333","0",8.333333333,15.38461538,16.66666667
"84","l","ELS","Male","10",0,100,91.66666667,"91.66666667","75","25","33.33333333","33.33333333",41.66666667,7.692307692,25
"85","l","ELS","Male","10",0,83.33333333,0,"0","0","0","50","0",0,0,16.66666667
"86","l","ELS","Male","10",8.333333333,100,16.66666667,"16.66666667","8.333333333","0","0","0",36.36363636,0,8.333333333
"87","h","ELS","Female","10",0,66.66666667,50,"50","25","33.33333333","8.333333333","16.66666667",0,0,16.66666667
"88","h","ELS","Female","10",0,66.66666667,8.333333333,"8.333333333","8.333333333","0","0","8.333333333",11.11111111,15.38461538,16.66666667
"89","h","ELS","Female","10",0,83.33333333,41.66666667,"41.66666667","25","16.66666667","91.66666667","33.33333333",41.66666667,38.46153846,0
"90","h","ELS","Female","10",16.66666667,100,75,"75","66.66666667","66.66666667","66.66666667","33.33333333",75,23.07692308,41.66666667
"91","l","NS","Female","10",0,50,0,"0","8.333333333","0","0","0",0,7.692307692,0
"92","l","NS","Female","10",0,50,50,"50","25","8.333333333","8.333333333","0",8.333333333,0,0
"93","h","NS","Female","10",0,33.33333333,25,"25","33.33333333","16.66666667","8.333333333","25",8.333333333,0,0
"94","h","NS","Female","10",0,66.66666667,8.333333333,"8.333333333","16.66666667","0","0","0",0,0,0
"95","l","NS","Male","10",0,33.33333333,16.66666667,"16.66666667","58.33333333","25","0","0",0,15.38461538,41.66666667
"96","l","NS","Male","10",0,100,25,"25","41.66666667","8.333333333","33.33333333","8.333333333",16.66666667,23.07692308,0
"97","l","NS","Male","10",33.33333333,66.66666667,83.33333333,"83.33333333","83.33333333","41.66666667","58.33333333","58.33333333",50,61.53846154,33.33333333
"98","l","NS","Male","10",0,0,16.66666667,"16.66666667","25","0","8.333333333","16.66666667",25,0,0
"99","l","ELS","Female","10",0,33.33333333,0,"0","0","0","0","8.333333333",0,7.692307692,0
"100","l","ELS","Female","10",0,66.66666667,66.66666667,"66.66666667","41.66666667","16.66666667","33.33333333","0",0,15.38461538,16.66666667
"101","h","ELS","Male","10",0,83.33333333,61.53846154,"61.53846154","53.84615385","23.07692308","15.38461538","0",23.07692308,23.07692308,0
"102","h","ELS","Male","10",0,83.33333333,69.23076923,"69.23076923","69.23076923","46.15384615","0","0",7.692307692,23.07692308,0
"103","h","ELS","Male","10",0,100,84.61538462,"84.61538462","46.15384615","61.53846154","61.53846154","87.5",46.15384615,23.07692308,38.46153846
"104","h","ELS","Male","10",0,83.33333333,84.61538462,"84.61538462","76.92307692","38.46153846","15.38461538","0",30.76923077,0,23.07692308
"105","h","ELS","Male","10",0,83.33333333,83.33333333,"83.33333333","84.61538462","69.23076923","23.07692308","50",53.84615385,38.46153846,15.38461538
"106","h","ELS","Male","10",0,50,50,"50","76.92307692","7.692307692","23.07692308","0",0,23.07692308,15.38461538
"107","h","ELS","Female","10",0,100,30.76923077,"30.76923077","53.84615385","30.76923077","46.15384615","0",0,30.76923077,30.76923077
"108","h","ELS","Female","10",0,33.33333333,30.76923077,"30.76923077","7.692307692","23.07692308","23.07692308","0",0,46.15384615,7.692307692
"109","h","ELS","Female","10",NA,NA,46.15384615,"46.15384615","23.07692308","23.07692308","61.53846154","87.5",15.38461538,23.07692308,30.76923077
"110","h","ELS","Female","10",0,83.33333333,84.61538462,"84.61538462","61.53846154","30.76923077","23.07692308","0",23.07692308,15.38461538,23.07692308
"111","h","ELS","Female","10",7.692307692,75,15.38461538,"15.38461538","15.38461538","30.76923077","0","0",23.07692308,46.15384615,38.46153846
"112","h","ELS","Male","10",0,66.66666667,50,"50","16.66666667","41.66666667","25","25",61.53846154,38.46153846,69.23076923
"113","h","ELS","Male","10",0,50,41.66666667,"41.66666667","58.33333333","33.33333333","25","25",30.76923077,7.692307692,15.38461538
"114","h","ELS","Female","10",0,66.66666667,69.23076923,"69.23076923","25","8.333333333","50","41.66666667",7.692307692,23.07692308,38.46153846
"115","h","ELS","Female","10",0,66.66666667,33.33333333,"33.33333333","16.66666667","16.66666667","8.333333333","0",0,7.692307692,0
"116","h","ELS","Female","10",23.07692308,83.33333333,41.66666667,"41.66666667","33.33333333","58.33333333","41.66666667","83.33333333",15.38461538,46.15384615,53.84615385
"117","h","ELS","Female","10",0,100,41.66666667,"41.66666667","41.66666667","50","8.333333333","50",23.07692308,38.46153846,15.38461538
"118","h","NS","Male","10",0,66.66666667,58.33333333,"58.33333333","33.33333333","25","25","33.33333333",7.692307692,15.38461538,46.15384615
"119","h","NS","Male","10",0,83.33333333,16.66666667,"16.66666667","100","41.66666667","8.333333333","16.66666667",7.692307692,15.38461538,15.38461538
"120","h","NS","Male","10",0,66.66666667,8.333333333,"8.333333333","0","0","0","8.333333333",0,0,7.692307692
"121","h","NS","Male","10",7.692307692,50,83.33333333,"83.33333333","83.33333333","91.66666667","41.66666667","8.333333333",76.92307692,0,45.45454545
"122","h","NS","Male","10",0,16.66666667,8.333333333,"8.333333333","8.333333333","8.333333333","0","0",7.692307692,76.92307692,18.18181818
"123","h","ELS","Female","10",0,100,NA,"","","","","",53.84615385,30.76923077,38.46153846
"124","h","ELS","Female","10",0,83.33333333,NA,"","","","","",46.15384615,7.692307692,46.15384615
"125","h","ELS","Female","10",0,100,16.66666667,"16.66666667","50","8.333333333","33.33333333","25",15.38461538,38.46153846,NA
"126","h","NS","Male","10",0,33.33333333,33.33333333,"33.33333333","0","58.33333333","66.66666667","23.07692308",15.38461538,7.692307692,0
"127","h","NS","Male","10",0,100,66.66666667,"66.66666667","41.66666667","16.66666667","58.33333333","23.07692308",23.07692308,46.15384615,15.38461538
"128","h","ELS","Male","10",0,83.33333333,66.66666667,"66.66666667","50","0","0","0",0,7.692307692,15.38461538
"129","h","ELS","Male","10",0,50,50,"50","58.33333333","25","50","46.15384615",30.76923077,38.46153846,23.07692308
"130","h","ELS","Male","10",0,100,91.66666667,"91.66666667","83.33333333","66.66666667","66.66666667","30.76923077",38.46153846,23.07692308,61.53846154
"131","h","NS","Female","10",7.692307692,66.66666667,50,"50","8.333333333","33.33333333","16.66666667","46.15384615",46.15384615,53.84615385,7.692307692
"132","h","NS","Female","10",0,83.33333333,33.33333333,"33.33333333","41.66666667","16.66666667","16.66666667","7.692307692",0,7.692307692,0
"133","h","NS","Female","10",0,66.66666667,23.07692308,"23.07692308","0","0","0","0",38.46153846,38.46153846,0
"134","h","NS","Female","10",0,66.66666667,38.46153846,"38.46153846","25","8.333333333","8.333333333","33.33333333",30.76923077,30.76923077,15.38461538
"135","h","NS","Female","10",0,66.66666667,76.92307692,"76.92307692","100","100","83.33333333","66.66666667",0,38.46153846,38.46153846
"136","h","ELS","Female","10",0,66.66666667,76.92307692,"76.92307692","33.33333333","16.66666667","0","58.33333333",46.15384615,15.38461538,30.76923077
"137","h","ELS","Female","10",7.692307692,50,53.84615385,"53.84615385","33.33333333","25","33.33333333","8.333333333",53.84615385,46.15384615,30.76923077
"138","h","ELS","Female","10",0,100,46.15384615,"46.15384615","25","0","0","0",7.692307692,0,7.692307692
"139","h","NS","Female","10",0,83.33333333,61.53846154,"61.53846154","83.33333333","50","25","25",15.38461538,15.38461538,NA
"140","h","NS","Female","10",0,83.33333333,61.53846154,"61.53846154","16.66666667","41.66666667","16.66666667","41.66666667",23.07692308,0,NA
"141","h","NS","Female","10",7.692307692,83.33333333,84.61538462,"84.61538462","75","58.33333333","75","16.66666667",23.07692308,NA,NA
"142","h","NS","Female","10",7.692307692,66.66666667,76.92307692,"76.92307692","16.66666667","66.66666667","33.33333333","8.333333333",38.46153846,NA,NA
