"","Shock","Stress","Sex","Condition","Pre","Post","recall_1","ext1_curve","ext2_curve","ext3_curve","ext4_curve","ext5_curve","extinction_recall","reminder_day1_shock","reminder_day2"
"1","l","NS","Male","10",0,83.33333333,41.66666667,"41.66666667","8.333333333","16.66666667","0","36.36363636",12.5,NA,NA
"2","l","NS","Male","10",0,33.33333333,33.33333333,"33.33333333","16.66666667","0","16.66666667","0",20.83333333,NA,NA
"3","l","ELS","Male","10",33.33333333,50,75,"75","33.33333333","41.66666667","0","36.36363636",33.33333333,NA,NA
"4","l","ELS","Male","10",8.333333333,83.33333333,66.66666667,"66.66666667","58.33333333","58.33333333","8.333333333","0",20.83333333,NA,NA
"5","l","NS","Female","10",0,66.66666667,0,"0","0","0","16.66666667","18.18181818",4.166666667,NA,NA
"6","l","NS","Female","10",0,16.66666667,0,"0","0","0","0","0",4.166666667,NA,NA
"7","l","NS","Female","10",0,66.66666667,0,"0","16.66666667","0","8.333333333","9.090909091",8.333333333,NA,NA
"8","l","ELS","Female","10",0,66.66666667,50,"50","41.66666667","8.333333333","16.66666667","9.090909091",8.333333333,NA,NA
"9","l","ELS","Female","10",8.333333333,66.66666667,8.333333333,"8.333333333","8.333333333","0","0","18.18181818",4.166666667,NA,NA
"10","l","NS","Male","10",8.333333333,66.66666667,25,"25","16.66666667","0","0","0",0,NA,NA
"11","l","NS","Male","10",16.66666667,83.33333333,25,"25","25","16.66666667","0","9.090909091",12.5,NA,NA
"12","l","ELS","Male","10",0,83.33333333,16.66666667,"16.66666667","16.66666667","0","0","9.090909091",20.83333333,NA,NA
"13","l","ELS","Male","10",0,33.33333333,41.66666667,"41.66666667","16.66666667","25","0","9.090909091",8.333333333,NA,NA
"14","l","NS","Female","10",9.090909091,50,25,"25","33.33333333","8.333333333","16.66666667","16.66666667",8.333333333,NA,NA
"15","l","NS","Female","10",9.090909091,100,58.33333333,"58.33333333","16.66666667","25","0","8.333333333",8.333333333,NA,NA
"16","l","ELS","Male","10",27.27272727,50,0,"0","16.66666667","16.66666667","8.333333333","16.66666667",4.166666667,NA,NA
"17","l","ELS","Male","10",9.090909091,83.33333333,33.33333333,"33.33333333","8.333333333","8.333333333","25","0",0,NA,NA
"18","l","NS","Male","10",0,50,50,"50","75","25","25","0",12.5,NA,NA
"19","l","NS","Male","10",18.18181818,33.33333333,33.33333333,"33.33333333","0","25","0","8.333333333",12.5,NA,NA
"20","l","ELS","Female","10",0,16.66666667,50,"50","33.33333333","25","16.66666667","8.333333333",12.5,NA,NA
"21","l","ELS","Female","10",9.090909091,0,25,"25","16.66666667","0","16.66666667","16.66666667",33.33333333,NA,NA
"22","l","NS","Male","10",18.18181818,50,58.33333333,"58.33333333","58.33333333","33.33333333","16.66666667","25",4.166666667,NA,NA
"23","l","NS","Male","10",9.090909091,66.66666667,8.333333333,"8.333333333","33.33333333","0","16.66666667","0",16.66666667,NA,NA
"24","l","NS","Male","10",0,66.66666667,25,"25","50","33.33333333","16.66666667","8.333333333",12.5,NA,NA
"25","l","NS","Female","10",0,0,8.333333333,"8.333333333","25","8.333333333","8.333333333","16.66666667",16.66666667,NA,NA
"26","l","NS","Female","10",9.090909091,16.66666667,33.33333333,"33.33333333","83.33333333","8.333333333","0","16.66666667",4.166666667,NA,NA
"27","l","ELS","Female","10",0,50,16.66666667,"16.66666667","8.333333333","8.333333333","8.333333333","8.333333333",25,NA,NA
"28","l","ELS","Female","10",0,66.66666667,33.33333333,"33.33333333","8.333333333","8.333333333","16.66666667","0",33.33333333,NA,NA
