"","figures_sex","Stress","mean_recall","sem_recall"
"1","Male","ELS",46.380090498,5.9638950057402
"2","Male","NS",27.884615384875,4.22096442251732
"3","Female","ELS",22.5033738198421,3.73003305516945
"4","Female","NS",27.8246263538235,4.90007115543481
