Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2
h,x,x,x,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
h,ELS,Male,2,7.692307692,100,41.66666667,,,,,,30.76923077,46.15384615,30.76923077
h,ELS,Male,2,7.692307692,83.33333333,58.33333333,,,,,,53.84615385,7.692307692,15.38461538
h,ELS,Male,2,7.692307692,100,58.33333333,,,,,,30.76923077,15.38461538,46.15384615
h,x,x,x,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
h,NS,Female,10,7.692307692,66.66666667,50,50,8.333333333,33.33333333,16.66666667,46.15384615,46.15384615,53.84615385,7.692307692
h,NS,Female,10,0,83.33333333,33.33333333,33.33333333,41.66666667,16.66666667,16.66666667,7.692307692,0,7.692307692,0
h,NS,Female,2,0,83.33333333,53.84615385,,,,,,15.38461538,38.46153846,46.15384615
h,NS,Female,2,15.38461538,100,15.38461538,,,,,,46.15384615,15.38461538,46.15384615
h,NS,Female,2,0,83.33333333,30.76923077,,,,,,23.07692308,30.76923077,15.38461538
h,NS,Female,2,0,66.66666667,15.38461538,,,,,,23.07692308,30.76923077,0
h,NS,Female,10,0,66.66666667,23.07692308,23.07692308,0,0,0,0,38.46153846,38.46153846,0
h,NS,Female,10,0,66.66666667,38.46153846,38.46153846,25,8.333333333,8.333333333,33.33333333,30.76923077,30.76923077,15.38461538
h,NS,Female,10,0,66.66666667,76.92307692,76.92307692,100,100,83.33333333,66.66666667,0,38.46153846,38.46153846
h,x,x,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
h,ELS,Female,10,0,66.66666667,76.92307692,76.92307692,33.33333333,16.66666667,0,58.33333333,46.15384615,15.38461538,30.76923077
h,ELS,Female,10,7.692307692,50,53.84615385,53.84615385,33.33333333,25,33.33333333,8.333333333,53.84615385,46.15384615,30.76923077
h,ELS,Female,10,0,100,46.15384615,46.15384615,25,0,0,0,7.692307692,0,7.692307692
h,x,x,x,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
h,NS,Female,10,0,83.33333333,61.53846154,61.53846154,83.33333333,50,25,25,15.38461538,15.38461538,#DIV/0!
h,NS,Female,10,0,83.33333333,61.53846154,61.53846154,16.66666667,41.66666667,16.66666667,41.66666667,23.07692308,0,#DIV/0!
h,NS,Female,10,7.692307692,83.33333333,84.61538462,84.61538462,75,58.33333333,75,16.66666667,23.07692308,#DIV/0!,#DIV/0!
h,NS,Female,10,7.692307692,66.66666667,76.92307692,76.92307692,16.66666667,66.66666667,33.33333333,8.333333333,38.46153846,#DIV/0!,#DIV/0!
