"","figures_sex","Stress","mean_recall","sem_recall"
"1","Male","ELS",42.5675675682703,4.40134630850452
"2","Male","NS",27.1866391186591,3.672585171009
"3","Female","ELS",28.8617886185854,3.62421799084771
"4","Female","NS",14.4144144148108,3.14151290582732
